encoding,name,description,country,director,actor,vote,score,year,link
tt0111161,肖申克的救赎,"一场谋杀案使银行家安迪（蒂姆罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根弗里曼 Morgan Freeman ..."" ", 美国,弗兰克·德拉邦特,"'蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗'",2684629,9.7,1994,https://movie.douban.com/subject/1292052/
tt0106332,霸王别姬,"段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系..."" ", 中国大陆 ,陈凯歌,"'张国荣', '张丰毅', '巩俐', '葛优', '英达'",1991412,9.6,1993,https://movie.douban.com/subject/1291546/
tt0109830,阿甘正传,, 美国,罗伯特·泽米吉斯,"'汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德'",2016057,9.5,1994,https://movie.douban.com/subject/1292720/
tt0120338,泰坦尼克号,"1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不..."" ", 美国 ,詹姆斯·卡梅隆,"'莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍'",1975111,9.4,1997,https://movie.douban.com/subject/1292722/
tt0110413,这个杀手不太冷,"里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（..."" ", 法国 ,吕克·贝松,"'让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔'",2159805,9.4,1994,https://movie.douban.com/subject/1295644/
tt0118799,美丽人生,, 意大利,罗伯托·贝尼尼,"'罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'",1237725,9.6,1997,https://movie.douban.com/subject/1292063/
tt0245429,千与千寻,"千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古..."" ", 日本,宫崎骏,"'柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男'",2092225,9.4,2001,https://movie.douban.com/subject/1291561/
tt0108052,辛德勒的名单,"1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社..."" ", 美国,史蒂文·斯皮尔伯格,"'连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'",1032649,9.6,1993,https://movie.douban.com/subject/1295124/
tt1375666,盗梦空间,"道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰..."" ", 美国 ,克里斯托弗·诺兰,"'莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦'",1929049,9.4,2010,https://movie.douban.com/subject/3541415/
tt0816692,星际穿越,"近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦..."" ", 美国 ,克里斯托弗·诺兰,"'马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克'",1631278,9.4,2014,https://movie.douban.com/subject/1889243/
tt1028532,忠犬八公的故事,"八公（Forest 饰）是一条谜一样的犬，因为没有人知道它从哪里来。教授帕克（理查·基尔 Richard Gere 饰）在小镇的火车站拣到一只走失的小狗，冥冥中似乎注定小狗和帕克教授有着某种缘分，帕克..."" ", 美国 ,拉斯·霍尔斯道姆,"'理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'",1316345,9.4,2009,https://movie.douban.com/subject/3011091/
tt0120382,楚门的世界,"楚门（金凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他..."" ", 美国,彼得·威尔,"'金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'",1550546,9.3,1998,https://movie.douban.com/subject/1292064/
